source,target,type,explanation,status,sourceUrl,activeFrom,activeTo
amec,smic,PROVIDES_EQUIPMENT_TO,AMEC etch and deposition systems serve advanced integrated-circuit production lines; SMIC is a representative domestic foundry deployment path because AMEC does not name the customer in this disclosure.,representative,https://www.amec-inc.com/uploads/files/20250611/17496080859885.pdf,,
amec,ymtc,PROVIDES_EQUIPMENT_TO,AMEC describes its high-aspect-ratio etch equipment as supporting advanced memory manufacturing; YMTC is a representative domestic 3D-NAND path.,representative,https://static.amec-inc.com/uploads/files/20250611/17496080859885.pdf,,
piotech,smic,PROVIDES_EQUIPMENT_TO,Piotech deposition and bonding equipment is installed across Chinese wafer-manufacturing production lines; SMIC represents the disclosed integrated-circuit foundry application.,representative,https://piotech.cn/index.php/About/about.html,,
piotech,ymtc,PROVIDES_EQUIPMENT_TO,Piotech identifies advanced memory among the production applications for its deposition equipment; YMTC represents the domestic NAND path.,representative,https://piotech.cn/index.php/About/about.html,,
anji-microelectronics,smic,SUPPLIES,Anji CMP slurries and wet chemicals are mass-produced for logic-chip lines; SMIC is a representative domestic logic-fabrication path rather than a named customer disclosure.,representative,https://www.anjimicro.com/en/jiejuefangan.html,,
anji-microelectronics,ymtc,SUPPLIES,Anji documents volume use of its chemicals in 3D NAND processes; YMTC is a representative domestic NAND-fabrication path rather than a named customer disclosure.,representative,https://www.anjimicro.com/en/jiejuefangan.html,,
nsig,smic,SUPPLIES,NSIG reports that its 300mm silicon wafers have qualified with mainstream domestic semiconductor customers; SMIC is a representative foundry path because customers are not named.,representative,https://www.nsig.com/en,,
jcet,cambricon,PROVIDES_PACKAGING_TO,"JCET provides advanced packaging for AI and high-performance-computing chips; Cambricon is shown as a representative domestic accelerator packaging path, not a disclosed customer contract.",representative,https://www.jcetglobal.com/en/site/detailscon/908,,
jcet,biren-technology,PROVIDES_PACKAGING_TO,"JCET provides advanced packaging for AI and high-performance-computing chips; Biren is shown as a representative domestic accelerator packaging path, not a disclosed customer contract.",representative,https://www.jcetglobal.com/en/site/detailscon/908,,
huawei,huawei-cloud,DEVELOPS,Huawei operates Huawei Cloud as the cloud delivery layer for its enterprise and AI platforms.,confirmed,https://www.huawei.com/en/news/2023/9/ascend-aicloud-service,,
huawei-cloud,huawei-ascend,RUNS_ON,Huawei Cloud’s Ascend AI Cloud Service provides Ascend-powered AI compute from its cloud data centers.,confirmed,https://www.huawei.com/en/news/2023/9/ascend-aicloud-service,,
alibaba-cloud,alibaba-yitian,DEVELOPS,Alibaba Cloud deploys its in-house Yitian 710 processor in ECS instance families.,confirmed,https://www.alibabacloud.com/help/en/ecs/user-guide/summary-of-the-migration,,
alibaba-cloud,alibaba-hanguang,DEVELOPS,Alibaba developed Hanguang 800 as an inference accelerator for Alibaba Cloud infrastructure and production AI workloads.,confirmed,https://www.alibabacloud.com/blog/compare-and-compute-high-performance-computing-with-alibaba-cloud_595807,,
qwen,alibaba-cloud,RUNS_ON,Alibaba Cloud Model Studio provides the Qwen model family through managed and OpenAI-compatible APIs.,confirmed,https://www.alibabacloud.com/help/en/model-studio/what-is-model-studio,2023,
deepseek,alibaba-cloud,DEPLOYED_BY,Alibaba Cloud Model Studio lists DeepSeek among the third-party model families available as managed services.,confirmed,https://www.alibabacloud.com/help/en/model-studio/what-is-model-studio,2025,
moonshot-ai,alibaba-cloud,DEPLOYED_BY,Alibaba Cloud Model Studio lists Kimi among the third-party model families available as managed services.,confirmed,https://www.alibabacloud.com/help/en/model-studio/what-is-model-studio,2023,
tencent-hunyuan,tencent-cloud,RUNS_ON,Tencent exposes Hunyuan to enterprises through Tencent Cloud APIs and its model-as-a-service platform.,confirmed,https://www.tencent.com/tencent-unveils-hunyuan-its-proprietary-large-foundation-model-on-tencent-cloud/,2023,
doubao-model,volcano-engine,DEPLOYED_BY,Volcano Engine provides Doubao model APIs and the cloud-native serving layer used for enterprise deployment.,confirmed,https://www.volcengine.com/product/doubao,,
bytedance-seed,volcano-engine,DEPLOYED_BY,Volcano Engine is ByteDance’s enterprise distribution and API platform for the Doubao/Seed model portfolio.,confirmed,https://www.volcengine.com/product/doubao,,
agibot,nvidia-isaac,INTEGRATES_WITH,NVIDIA identifies AGIBOT as building with Isaac simulation and adopting Isaac GR00T models for humanoid deployment.,confirmed,https://nvidianews.nvidia.com/news/nvidia-and-global-robotics-leaders-take-physical-ai-to-the-real-world,,
fourier-intelligence,nvidia-isaac,INTEGRATES_WITH,NVIDIA identifies Fourier Intelligence among humanoid developers using its comprehensive Isaac and GR00T robotics platform.,confirmed,https://nvidianews.nvidia.com/news/foundation-model-isaac-robotics-platform,,
galbot,nvidia-isaac,INTEGRATES_WITH,NVIDIA lists Galbot in its humanoid robotics ecosystem for Isaac GR00T development workflows.,confirmed,https://www.nvidia.com/en-in/use-cases/humanoid-robots/,,
robotera,nvidia-isaac,INTEGRATES_WITH,NVIDIA includes RobotEra among humanoid developers in its physical-AI ecosystem; this edge records platform participation rather than an exclusive dependency.,reported,https://images.nvidia.com/aem-dam/en-zz/Solutions/events/ces/CES_2025_Highlights_Deck.pdf,,
01-ai,hugging-face,DEPLOYED_BY,01.AI distributes Yi open-weight models and documentation through its official Hugging Face organization.,confirmed,https://huggingface.co/01-ai/models,,
01-ai,modelscope,DEPLOYED_BY,01.AI’s official Yi documentation lists ModelScope as a model-weight distribution channel.,confirmed,https://huggingface.co/01-ai/Yi-6B,,
shanghai-ai-laboratory,modelscope,DEPLOYED_BY,Shanghai AI Laboratory publishes InternLM model weights through its verified ModelScope organization.,confirmed,https://modelscope.cn/models/Shanghai_AI_Laboratory/internlm2_5-7b,,
alibaba-cloud,alibaba-wan,DEVELOPS,Alibaba Cloud develops and distributes the Wan generative-video model family through its AI model ecosystem.,confirmed,https://www.alibabacloud.com/blog/alibaba-cloud-releases-wan-series-generative-ai-model-for-video-creation_598729,,
baichuan-ai,vllm,RUNS_ON,Baichuan provides OpenAI-compatible model APIs; vLLM is shown as a representative self-hosted serving path rather than the disclosed backend of Baichuan’s managed API.,representative,https://platform.baichuan-ai.com/docs,,
stepfun,vllm,RUNS_ON,"StepFun exposes OpenAI- and Anthropic-compatible model endpoints; vLLM represents an interoperable self-hosted serving path, not StepFun’s disclosed managed-service backend.",representative,https://platform.stepfun.ai/docs/en/step-plan/quick-start,,
deepseek,moore-threads,RUNS_ON,Moore Threads publishes supported DeepSeek deployments and model-specific optimizations for its MUSA GPU stack.,confirmed,https://en.mthreads.com/product/S5000,,
qwen,moore-threads,RUNS_ON,Moore Threads states that its S5000 GPU platform provides optimized support for Qwen architectures.,confirmed,https://en.mthreads.com/product/S5000,,
vllm,moore-threads,RUNS_ON,Moore Threads lists vLLM among the inference frameworks natively supported by its MUSA software stack.,confirmed,https://en.mthreads.com/product/S5000,,
siliconflow,moore-threads,RUNS_ON,Moore Threads documents SiliconFlow’s high-performance inference engine running with the MUSA software stack on S5000 systems.,confirmed,https://en.mthreads.com/product/S5000,,
nvidia,nvidia-vera-rubin,DEVELOPS,"NVIDIA develops the Vera Rubin rack-scale AI platform and its Rubin GPU, Vera CPU, networking and infrastructure processors.",confirmed,https://nvidianews.nvidia.com/news/nvidia-vera-rubin-platform,,
nvidia-vera-rubin,azure,DEPLOYED_BY,Microsoft is among the cloud providers deploying Vera Rubin systems for next-generation AI infrastructure.,confirmed,https://nvidianews.nvidia.com/news/rubin-platform-ai-supercomputer,,
nvidia-vera-rubin,coreweave,DEPLOYED_BY,CoreWeave is integrating Rubin-based systems into its AI cloud platform.,confirmed,https://nvidianews.nvidia.com/news/rubin-platform-ai-supercomputer,,
amd,amd-instinct-mi400,DEVELOPS,"AMD develops the Instinct MI400 accelerator family for frontier AI, sovereign AI and HPC.",confirmed,https://www.amd.com/en/products/accelerators/instinct/mi400.html,,
google-cloud,google-tpu,DEVELOPS,Google Cloud introduced TPU 8t for training and TPU 8i for agentic inference.,confirmed,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/tpus-8t-8i-cloud-next/,,
deepmind,google-antigravity,DEVELOPS,Google offers Antigravity as an agent for multi-step development workflows through its current Gemini interactions platform.,confirmed,https://ai.google.dev/gemini-api/docs/interactions-overview,,
mistral,mistral-vibe,DEVELOPS,Mistral develops Vibe for long-horizon productivity and coding work.,confirmed,https://mistral.ai/news/,,
minimax,minimax-mavis,DEVELOPS,MiniMax renamed its upgraded long-running agent Mavis and positions it around agent teams and sustained tasks.,confirmed,https://www.minimax.io/news,,
cohere,cohere-north-automations,DEVELOPS,Cohere develops North Automations for enterprise workflow orchestration.,confirmed,https://cohere.com/blog,,
openai,openai-codex,DEVELOPS,"OpenAI develops Codex as a suite of software-agent products spanning CLI, cloud, IDE and broader professional workflows.",confirmed,https://openai.com/index/codex-for-every-role-tool-workflow/,,
